Date,Target,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,day_of_week,month,day_of_month
2023-12-19,0.00282262760776459,0.0027306634738186284,-0.001123568706192965,-0.0021460024828660316,0.0024231838435655783,-0.002994634438941754,1,12,19
2023-12-18,0.008604034902195055,0.000678665611788979,0.0027306634738186284,-0.001123568706192965,-0.0021460024828660316,0.0024231838435655783,0,12,18
2023-12-15,0.00046432986636373757,-0.0056212223131867755,0.000678665611788979,0.0027306634738186284,-0.001123568706192965,-0.0021460024828660316,4,12,15
2023-12-14,-0.007383825991320461,0.00604097581120044,-0.0056212223131867755,0.000678665611788979,0.0027306634738186284,-0.001123568706192965,3,12,14
2023-12-13,-0.006559080006639241,4.7159012737875005e-05,0.00604097581120044,-0.0056212223131867755,0.000678665611788979,0.0027306634738186284,2,12,13
2023-12-12,-0.015522061927837276,0.0008246246993067867,4.7159012737875005e-05,0.00604097581120044,-0.0056212223131867755,0.000678665611788979,1,12,12
2023-12-11,-0.023475747196123543,0.0015310903977062645,0.0008246246993067867,4.7159012737875005e-05,0.00604097581120044,-0.0056212223131867755,0,12,11
2023-12-08,-0.021818450708337014,0.00016018498124368888,0.0015310903977062645,0.0008246246993067867,4.7159012737875005e-05,0.00604097581120044,4,12,8
2023-12-07,-0.025184299683291177,-0.002098729224630877,0.00016018498124368888,0.0015310903977062645,0.0008246246993067867,4.7159012737875005e-05,3,12,7
2023-12-06,-0.02985882130684924,-0.007800996844946323,-0.002098729224630877,0.00016018498124368888,0.0015310903977062645,0.0008246246993067867,2,12,6
2023-12-05,-0.03323454463855899,0.0016493706839880054,-0.007800996844946323,-0.002098729224630877,0.00016018498124368888,0.0015310903977062645,1,12,5
2023-12-04,-0.027086901419619006,-0.00743189152349177,0.0016493706839880054,-0.007800996844946323,-0.002098729224630877,0.00016018498124368888,0,12,4
2023-12-01,-0.022699953114017346,-0.007793500287042579,-0.00743189152349177,0.0016493706839880054,-0.007800996844946323,-0.002098729224630877,4,12,1
2023-11-30,-0.013703965079311788,-0.00044143273684434575,-0.007793500287042579,-0.00743189152349177,0.0016493706839880054,-0.007800996844946323,3,11,30
2023-11-29,-0.012989115910163263,-0.011166845819900488,-0.00044143273684434575,-0.007793500287042579,-0.00743189152349177,0.0016493706839880054,2,11,29
2023-11-28,-0.005778050264486193,-0.003025150939570057,-0.011166845819900488,-0.00044143273684434575,-0.007793500287042579,-0.00743189152349177,1,11,28
2023-11-27,-0.0040818816737136785,-0.010807614855201517,-0.003025150939570057,-0.011166845819900488,-0.00044143273684434575,-0.007793500287042579,0,11,27
2023-11-24,-0.0069067355640347475,-0.0016458570681025986,-0.010807614855201517,-0.003025150939570057,-0.011166845819900488,-0.00044143273684434575,4,11,24
2023-11-23,-0.01309718060975084,0.0039455155687573166,-0.0016458570681025986,-0.010807614855201517,-0.003025150939570057,-0.011166845819900488,3,11,23
2023-11-22,-0.013224823168685118,-0.0021708577851949308,0.0039455155687573166,-0.0016458570681025986,-0.010807614855201517,-0.003025150939570057,2,11,22
2023-11-21,-0.018156955297349738,-0.002310301770421532,-0.0021708577851949308,0.0039455155687573166,-0.0016458570681025986,-0.010807614855201517,1,11,21
2023-11-20,-0.03561306545494636,-0.0035965492095244487,-0.002310301770421532,-0.0021708577851949308,0.0039455155687573166,-0.0016458570681025986,0,11,20
2023-11-17,-0.04396804295200696,5.031152266991621e-05,-0.0035965492095244487,-0.002310301770421532,-0.0021708577851949308,0.0039455155687573166,4,11,17
